DTFD,20210917,65,65,25,35,0
DTFI,20210917,50,50,20,25,0
DTFX,20210917,127.52,127.66,127.02,127.05,0
DTOF,20210917,25,25,10,20,0
DTOH,20210917,35,35,30,30,0
DTTH,20210917,40,40,40,40,0
DTTW,20210917,50,50,20,25,0
DTWC,20210917,27015.61,27043.26,26762.72,26793.95,0
DTWI,20210917,81486.73,81544.74,80944.78,81096.45,0
DTWT,20210917,23869.58,23927.48,23516,23559.56,0
DTWU,20210917,4269.48,4285.67,4205.41,4209.29,0
DUBS,20210917,98.52,98.86,97.42,97.54,0
DUFD,20210917,26.66,26.66,6.66,6.66,0
DUFI,20210917,53.33,53.33,40,40,0
DUOF,20210917,46.66,46.66,26.66,26.66,0
DUOH,20210917,73.33,73.33,46.66,46.66,0
DUSL,20210917,976.88,978.55,969.36,970.48,0
DUSM,20210917,1633.44,1638.69,1621.86,1624.94,0
DUSS,20210917,1536.23,1539.33,1523.76,1529.17,0
DUTH,20210917,66.66,73.33,60,60,0
DUTW,20210917,20,20,20,20,0
DVCA,20210917,6.85,408.3,6.85,408.3,0
DVCC,20210917,2.06,45.31,2.06,43.05,0
DVCE,20210917,30.74,1307.67,30.74,1307.67,0
DVCN,20210917,153.37,4735.27,153.37,4735.27,0
DVCQ,20210917,142.12,2942.5,142.12,2942.5,0
DVCS,20210917,87.81,564.13,87.81,564.13,0
DVCT,20210917,302.35,8086.08,302.35,8086.08,0
DVCU,20210917,315.14,9895.39,315.14,8150.84,0
DVCV,20210917,4.37,89.91,4.37,89.88,0
DVCX,20210917,94.25,697.53,94.25,697.06,0
DWCB,20210917,6540.02,6584.58,6511.17,6542.2,0
ESFD,20210917,47.77,47.77,27.38,28.66,0
ESFI,20210917,49.68,49.68,43.31,44.26,0
ESOF,20210917,53.18,53.18,48.4,49.68,0
ESOH,20210917,62.42,63.37,60.19,60.82,0
ESTH,20210917,70.06,71.01,67.83,68.47,0
ESTW,20210917,40.12,40.12,27.7,27.7,0
FBV,20210917,24.98,25,24.83,24.85,0
GMI,20210917,30.85,30.85,30.37,30.62,0
GNX,20210917,542.57,543.07,536.8,538.85,0
HGX,20210917,465.83,468.29,463.42,466.56,0
HIGA,20210917,0.01,0.01,0.01,0.01,0
HIGC,20210917,1,1,1,1,0
HIGD,20210917,0.01,0.01,0.01,0.01,0
HIGE,20210917,19,19,19,19,0
HIGN,20210917,43,43,43,43,0
HIGQ,20210917,48,48,48,48,0
HIGS,20210917,16,16,16,16,0
HIGU,20210917,128,128,128,128,0
HIGV,20210917,6,6,6,6,0
HSCE,20210917,8791.94,8940.47,8726.8,8940.47,0
HSI,20210917,24589.17,24920.76,24424.74,24920.76,0
HUI,20210917,238.91,238.91,234.96,237.63,0
HVX,20210917,145.68,145.68,143.85,144.59,0
IDX,20210917,2697.72,2701.75,2670.47,2678.06,1039105000
INDS,20210917,11149.87,11158.82,11059.14,11091.59,0
INSR,20210917,10846.47,10891.75,10788.96,10816.23,0
IQX,20210917,6251.12,6253.27,6194.24,6199.56,0
IQZ,20210917,15455.97,15487.89,15308.1,15380.81,0
IVX,20210917,1465.19,1468.12,1455.64,1457.09,0
IXB,20210917,873,873,854.37,856.94,0
IXCO,20210917,11264.02,11264.45,11091.14,11112.53,0
IXE,20210917,513.94,520.02,509.6,510.96,0
IXF,20210917,6199.71,6226.65,6162.17,6190.99,0
IXHC,20210917,1306.87,1313.36,1295.48,1312.82,0
IXI,20210917,1018.25,1018.25,1006.81,1008.4,0
IXM,20210917,463.56,465.93,460.48,461.53,0
IXR,20210917,719.29,720.45,715.93,716.13,0
IXTC,20210917,529.03,530.15,524.54,527.15,0
IXU,20210917,678.16,680.79,667.52,668.15,0
IXV,20210917,1339.07,1341.77,1332.65,1340.27,0
IXY,20210917,1864.13,1872.49,1853.51,1857.91,0
JKSE,20210917,6109.94,6133.25,6086.08,6133.25,0
JX,20210917,895.76,895.76,884.1,886.83,87778900
KDX,20210917,118.03,118.26,117.43,117.51,0
KIX,20210917,360.2,363.1,357.78,357.95,0
KLSE,20210917,1556.35,1556.74,1543.08,1548.51,0
KLX,20210917,59.67,59.67,57.09,57.31,0
KPX,20210917,871.61,874.73,865.78,867.95,0
KRX,20210917,114.63,115.47,113.7,114.48,0
KSI,20210917,408.9,411.36,407.07,410.99,0
KSIC,20210917,3127.75,3142.13,3112.51,3140.51,0
KSX,20210917,616.62,621.08,611.48,614.24,0
KYX,20210917,61.53,61.61,61.1,61.18,0
LOWA,20210917,2,2,2,2,0
LOWC,20210917,5,5,5,5,0
LOWD,20210917,0.01,0.01,0.01,0.01,0
LOWE,20210917,31,31,31,31,0
LOWN,20210917,19,19,19,19,0
LOWQ,20210917,37,37,37,37,0
LOWS,20210917,18,18,18,18,0
LOWU,20210917,107,107,107,107,0
LOWV,20210917,5,5,5,5,0
M1DA,20210917,-10,-10,-10,-10,20200
M1DB,20210917,-17,-17,-17,-17,2800
M1DC,20210917,-107,-107,-107,-107,194900
M1DE,20210917,-220,-220,-220,-220,205400
M1DF,20210917,-11,-11,-11,-11,5800
M1DG,20210917,-160,-160,-160,-160,100400
M1DH,20210917,-267,-267,-267,-267,435100
M1DI,20210917,-31,-31,-31,-31,7300
M1DJ,20210917,-20,-20,-20,-20,2800
